STATE_CODE,STATE_CODE_EXP,SHRP_ID,LATITUDE,LONGITUDE,DATUM,DATUM_EXP,DATUM_OTHER,ELEVATION
5,Arkansas,0113,35.7447319030762,-90.57986,1,World Geodetic System 1984 (WGS84),,68
5,Arkansas,0114,35.7419891357422,-90.57984,1,World Geodetic System 1984 (WGS84),,68
5,Arkansas,0115,35.7375793457031,-90.57984,1,World Geodetic System 1984 (WGS84),,68
5,Arkansas,0116,35.7348403930664,-90.57979,1,World Geodetic System 1984 (WGS84),,68
5,Arkansas,0117,35.7395095825195,-90.57985,1,World Geodetic System 1984 (WGS84),,68
5,Arkansas,0118,35.7322998046875,-90.57979,1,World Geodetic System 1984 (WGS84),,67
5,Arkansas,0122,35.7243995666504,-90.57977,1,World Geodetic System 1984 (WGS84),,67
5,Arkansas,0123,35.7275390625,-90.57977,1,World Geodetic System 1984 (WGS84),,67
5,Arkansas,0124,35.7294502258301,-90.57983,1,World Geodetic System 1984 (WGS84),,67
5,Arkansas,A601,34.415210723877,-92.18935,1,World Geodetic System 1984 (WGS84),,103.099998474121
5,Arkansas,A602,34.4184303283691,-92.19021,1,World Geodetic System 1984 (WGS84),,103.099998474121
5,Arkansas,A603,34.4250602722168,-92.192,1,World Geodetic System 1984 (WGS84),,96.6999969482422
5,Arkansas,A605,34.4213790893555,-92.19069,1,World Geodetic System 1984 (WGS84),,103
1,Alabama,0502,31.2419109344482,-85.61339,1,World Geodetic System 1984 (WGS84),,106.900001525879
1,Alabama,0503,31.2419109344482,-85.61059,1,World Geodetic System 1984 (WGS84),,108.900001525879
1,Alabama,0504,31.2419700622559,-85.62005,1,World Geodetic System 1984 (WGS84),,107.800003051758
1,Alabama,0505,31.241979598999,-85.61624,1,World Geodetic System 1984 (WGS84),,107.099998474121
1,Alabama,0506,31.2419700622559,-85.62585,1,World Geodetic System 1984 (WGS84),,104.900001525879
1,Alabama,0507,31.2419700622559,-85.6227,1,World Geodetic System 1984 (WGS84),,105.699996948242
1,Alabama,0508,31.2418804168701,-85.60885,1,World Geodetic System 1984 (WGS84),,106.800003051758
1,Alabama,0509,31.2418804168701,-85.60486,1,World Geodetic System 1984 (WGS84),,101.5
1,Alabama,0563,31.2420501708984,-85.62927,1,World Geodetic System 1984 (WGS84),,104
48,Texas,D410,30.0725193023682,-94.77151,1,World Geodetic System 1984 (WGS84),,12
48,Texas,D420,30.0706996917725,-94.77134,1,World Geodetic System 1984 (WGS84),,14
48,Texas,D430,30.0681591033936,-94.77133,1,World Geodetic System 1984 (WGS84),,13
40,Oklahoma,A410,34.7524604797363,-96.67735,1,World Geodetic System 1984 (WGS84),,284.5
40,Oklahoma,A420,34.7525787353516,-96.67919,1,World Geodetic System 1984 (WGS84),,284.299987792969
40,Oklahoma,A430,34.7562789916992,-96.68823,1,World Geodetic System 1984 (WGS84),,294.600006103516
40,Oklahoma,B310,35.1952705383301,-96.67493,1,World Geodetic System 1984 (WGS84),,288.700012207031
40,Oklahoma,B320,35.1974716186523,-96.67486,1,World Geodetic System 1984 (WGS84),,290.5
40,Oklahoma,B330,35.199291229248,-96.67478,1,World Geodetic System 1984 (WGS84),,283
40,Oklahoma,B350,35.2070198059082,-96.67484,1,World Geodetic System 1984 (WGS84),,282.700012207031
40,Oklahoma,B360,35.2092208862305,-96.67463,1,World Geodetic System 1984 (WGS84),,282.5
5,Arkansas,C410,35.2992706298828,-94.41486,1,World Geodetic System 1984 (WGS84),,154.800003051758
5,Arkansas,C430,35.2966804504395,-94.41805,1,World Geodetic System 1984 (WGS84),,157.899993896484
1,Alabama,C330,31.2429294586182,-85.55701,1,World Geodetic System 1984 (WGS84),,98.5
